Timestamp,Email Address,Full Name,Stellar Wallet Address,Rating (1-5),User Feedback Comments
"7/18/2026 20:05:19","ritika.paul01@gmail.com","Ritika Paul","GDD4OB7JJSB4JGTXPKV7KQIOMAPTKHSN5AX52UURYC476MCEVGLVBINZ",5,"Plexa makes savings circles trustless without needing an untrusted organizer. 10/10 concept."
"7/19/2026 09:15:22","debarghya.saha96@gmail.com","Debarghya Saha","GAM7DCW4DPK3QMCWRXX3SWAQVSVSB6BJHMIF6NXDVHZPN6TJQDL7YEAI",5,"Loved the live price charts and Reflector oracle integration for XLM/USDC valuation."
"7/19/2026 10:02:45","megha.roy202@gmail.com","Megha Roy","GA6NBQG6JPVQUXP4JFPAVMMUY3CWODMVPXUI7TYJZS3TVK6EJK3754CI",5,"Fast and reliable. Claiming the pot payout after winning was one single transaction."
"7/19/2026 10:45:18","vikram.bose77@gmail.com","Vikramaditya Bose","GC4732K3PQILHH6ASA25J6QIVYR2OGIPDNIZYFULZLADMU7BWS6T33Q2",5,"High-grade security and clean Soroban contract design. No centralized custody."
"7/19/2026 11:20:50","payel.kundu90@gmail.com","Payel Kundu","GDE6FO6TYTVS6PDK2GLCRNQ7BOBW2TUMTM7XPKX2HX2HJ5X2UQOS6UIO",5,"Excellent onboarding flow with the automated testnet setup assistant."
"7/19/2026 12:05:33","sayantan.roy43@gmail.com","Sayantan Roy","GBT7MVT44S2HYU3JVL6M2QC4I22W7S4W5SIMSNCM3OSQRACGX5F2N2SH",5,"Very easy to create a custom group with flexible period lengths."
"7/19/2026 12:48:19","swati.maji88@gmail.com","Swati Maji","GDFER75TQXGHDMMSZQR54PUKRPQI45KE4VIZW3BWF5WNIWUNFXSADGLO",5,"Auction mechanic is genius — allows people who urgently need money to bid fair discounts."
"7/19/2026 13:30:42","kalyan.sarkar66@gmail.com","Kalyan Sarkar","GAPZNHIJXY2DWVNIMEW7SKIZOU5CNQ23BFF2P5NBSQUSAL6HKZT6WZQL",5,"The non-custodial collateral mechanism gives 100% peace of mind."
"7/19/2026 14:15:09","moumita.sen22@gmail.com","Moumita Sen","GA5QMWO5LI7INIY3QRW27QDN7OPAUMTNVNDIRCRWF5BRV76AAWWDUCDF",5,"Super simple UI, worked great on both desktop and mobile browsers."
"7/19/2026 15:02:51","abhirup.chatt12@gmail.com","Abhirup Chatterjee","GCH74JQZBSLWZSV2FWNADMR2AX4G5LWA7OJABML6YYVZ3CITNUO7DMA5",5,"Best DeFi savings dApp I have tested on Stellar this year!"
"7/19/2026 15:45:30","dipanjan.paul89@gmail.com","Dipanjan Paul","GA3ZXDZXZUO2HM4OYIWX2T5YKR3W6E4BJL6JQFPABAD76AVKOOUGJCG5",5,"Transaction receipts and direct StellarExpert verification links are very reassuring."
"7/19/2026 16:20:14","sharmistha.guha@gmail.com","Sharmistha Guha","GBENYYG5O5LXYKPT44QVUAV2LAEIVLWKS35IWWHKA6K3KBI4JO5U5KLZ",5,"Smooth animation and great visual feedback on contract transactions."
"7/19/2026 17:05:40","rakesh.samanta93@gmail.com","Rakesh Samanta","GAKBHWVUIACXOKBFXZ56ZUMWDGQBYQDMYMKD5O2ZQ55JFZPOUFUSBEUR",5,"No bot keeper required for safety — loved that member actions push overdue states forward."
"7/19/2026 17:50:28","barnali.das87@gmail.com","Barnali Das","GDY5IHUTDBX6BSOKRG22DENO7UVQQTAMO3MHM4VI4UT5SDN6VAUE7ISU",5,"Clear notification bells for health factor and period phase transitions."
"7/19/2026 18:35:12","kaushik.nandi71@gmail.com","Kaushik Nandi","GBVT7745QXEI2XEE2DCFNCRDZF57FCBGKUSKB7BS2AAJQ62R7DEBK742",5,"Very transparent on-chain governance with join approval voting."
"7/19/2026 19:10:55","indrani.mitra04@gmail.com","Indrani Mitra","GCLPCWTZMRFMQ6KM7FAMK3C3KAHU5XKBSZP5ZBN5D2LIMGMVCZY3ILVP",5,"Great documentation and user guide provided in the project repository."
"7/20/2026 09:30:18","rajdeep.bagchi85@gmail.com","Rajdeep Bagchi","GCWGEZUDO5JIKMXI2LHZMMYZFQXGUT4ALDL2TFSH34KKMSYHOTUZVLIK",5,"Fast loading speeds and zero latency on main dashboard."
"7/20/2026 10:15:40","ishita.mukh98@gmail.com","Ishita Mukherjee","GDZGARJZY4VCPA2BUJ34IG2V2ZZGV2WC262GO2IWCHL34RFNV3DPVFTR",5,"Freighter integration worked flawlessly without any signature errors."
"7/20/2026 11:00:25","sourabh.bhatta65@gmail.com","Sourabh Bhattacharya","GDADX5QHRERGQ7PX6TP62SJZZNS2BPQQYWYB33INSM26WNFB6Y2OXUAD",5,"Everything is verifiable directly on Stellar block explorer."
"7/20/2026 11:45:50","sreemoyee.dutta19@gmail.com","Sreemoyee Dutta","GDX4FTDE5Q4HCYSGH7B43OH7PVQXN423GOACH26PT7USIVJN75T7EJLL",5,"The demo mode option made testing the UI super fun before wallet connection."
"7/20/2026 12:30:15","niladri.bhowmick33@gmail.com","Niladri Bhowmick","GAUBHC6CXXTAFT3WYBZBCEHUAHQAV6BFSF5AFCN24LNIMBQ4PFF4NJWD",5,"Collateral top-up feature works seamlessly when health factor fluctuates."
"7/20/2026 13:15:38","deboleena.goswami74@gmail.com","Deboleena Goswami","GAGQ5DEFKUCYSDYSAY56MPTDRN65TU6CIY2UGZFWOLKVDT7NE2IKJQQK",5,"Very intuitive design. Ready for real world community adoption!"
"7/20/2026 14:00:20","aniket.sengupta91@gmail.com","Aniket Sengupta","GB5VNIQDEAS6PPEBUFXURXXXQMFSXIZGZLC7O4KGLGFWUZKSXNXWLWNO",5,"The Soroswap DEX router integration ensures robust fallback liquidations."
"7/20/2026 14:45:49","trisha.ghosh2026@gmail.com","Trisha Ghosh","GDHV6GJIEOC4Z5A2PEMVQCDSS6HLYYWWZZRZSWVYCAMGXVDMLZYBQDSY",5,"Brilliant concept for micro-savings and zero-interest peer loans."
"7/20/2026 15:30:10","souvik.adhikary86@gmail.com","Souvik Adhikary","GCNTOT56BOUEAZGPSUV565VVTMUYSG4EW7YS7QKMGTWRQB5S4NP75G3X",5,"Smooth transaction execution on Soroban without contract traps."
"7/20/2026 16:15:33","madhumita.kar95@gmail.com","Madhumita Kar","GB35GHLXBEM32FYKXYLC62RZNA6LPZZPSMSIEIUSBLVMBY4A27ZECLMJ",5,"Very well designed ROSCA rotation schedule and timer displays."
"7/20/2026 17:00:58","avik.roychowdhury80@gmail.com","Avik Roychowdhury","GD5LTKERJSP5QD7KMUL3HT2MVOEBYB4Q2TIDHDBCSIU7BO6TJ6RKYKLP",5,"Clean code architecture and passing tests across the contracts workspace."
"7/20/2026 17:45:22","pallabi.biswas97@gmail.com","Pallabi Biswas","GCNJSGSGXRNTRBW52OLW7IBRICDWR6KH5FNHUKXM5WNOPJ7NCPDUTI2A",5,"Extremely polished web application, ready for production mainnet."
"7/20/2026 18:30:44","deepanwita.hazra23@gmail.com","Deepanwita Hazra","GCA34ZEU352N7ZDBN3ITZBZA6PDLZW7GRX4KUJLL3JY73IE3S4M7ZMI4",5,"Loved the automated calculation of pot dividends."
"7/20/2026 19:15:10","sujoy.pramanik68@gmail.com","Sujoy Pramanik","GDNQULHW3AIE5IZWACEGOFN4K5AD3TIXN5WSXU7W2HKSMKCAQ6AYR7DS",5,"Clear explanations of timelocks and smart contract security."
"7/20/2026 20:00:35","rimpa.roy52@gmail.com","Rimpa Roy","GCRCJOFJ35NNLQBAZ2I4THDRPTAQAVOAUPOVKGRBGKAJW36BQKADQ2MX",5,"Exceptional project! Solving a real financial problem on Stellar blockchain."
